,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
90," Naujininkai, Dzūkų g., 3 kambarių butas",www.aruodas.lt/1-3019373,87000,58.36,14,2021-04-06,2021-04-06,1,3,2,5,1969,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1490.747087045922
91," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3019281,87000,54.3,7,2021-04-06,2021-04-06,1,3,2,5,1985,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1602.2099447513813
92," Naujamiestis, Gerosios Vilties g., 3 kambarių butas",www.aruodas.lt/1-2974953,127000,62.0,62,2021-04-05,2021-04-07,1,3,4,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2048.3870967741937
93," Šeškinė, Šeškinės g., 2 kambarių butas",www.aruodas.lt/1-3019191,92000,46.46,20,2021-04-06,2021-04-06,1,2,1,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šeškinė,1980.19801980198
94," Pašilaičiai, Ukmergės g., 3 kambarių butas",www.aruodas.lt/1-3013017,129000,78.48,40,2021-03-19,2021-04-06,1,3,5,8,2005,Mūrinis,Dujinis,Įrengtas,Sena statyba,Pašilaičiai,1643.7308868501527
95," Grigiškės, Kovo 11-osios g., 3 kambarių butas",www.aruodas.lt/1-2851643,80000,79.04,33,2021-03-16,2021-04-06,1,3,3,5,1971,Mūrinis,Dujinis,Įrengtas,Sena statyba,Grigiškės,1012.1457489878542
96," Antakalnis, Antakalnio g., 3 kambarių butas",www.aruodas.lt/1-3017351,115000,53.13,29,2021-04-02,2021-04-08,1,3,5,5,1962,Kita,Centrinis,Įrengtas,Sena statyba,Antakalnis,2164.5021645021643
97," Lazdynėliai, Jonažolių g., 2 kambarių butas",www.aruodas.lt/1-2866839,133000,61.83,54,2021-03-02,2021-04-06,1,2,8,9,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Lazdynėliai,2151.059356299531
98," Karoliniškės, Sausio 13-osios g., 2 kambarių butas",www.aruodas.lt/1-3015261,67000,47.0,35,2021-03-25,2021-04-06,1,2,5,5,1973,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1425.531914893617
99," Antakalnis, Rudens g., 3 kambarių butas",www.aruodas.lt/1-2986081,139000,59.46,63,2021-04-02,2021-04-02,0,3,1,2,1911,Medinis,Dujinis,Įrengtas,Sena statyba,Antakalnis,2337.7060208543558
100," Senamiestis, Savičiaus g., 2 kambarių butas",www.aruodas.lt/1-3018769,138000,31.7,26,2021-04-03,2021-04-07,1,2,1,2,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Senamiestis,4353.3123028391165
101," Žirmūnai, Jurgio Lebedžio g., 2 kambarių butas",www.aruodas.lt/1-3019589,120000,45.25,10,2021-04-06,2021-04-06,1,2,2,5,2017,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Žirmūnai,2651.9337016574586
